Date,Close/Last,Volume,Open,High,Low
04/08/2022,$296.97,24361920,$300.44,$301.12,$296.28
04/07/2022,$301.37,31411160,$296.66,$303.65,$296.35
04/06/2022,$299.5,40110370,$305.19,$307,$296.71
04/05/2022,$310.88,23156720,$313.27,$314.865,$309.87
04/04/2022,$314.97,24335870,$310.09,$315.11,$309.71
04/01/2022,$309.42,27110530,$309.37,$310.13,$305.54
03/31/2022,$308.31,33422070,$313.9,$315.14,$307.89
03/30/2022,$313.86,28163560,$313.76,$315.95,$311.58
03/29/2022,$315.41,30393400,$313.91,$315.82,$309.05
03/28/2022,$310.7,29578190,$304.33,$310.8,$304.33
03/25/2022,$303.68,22566450,$305.23,$305.5,$299.2855
03/24/2022,$304.1,24484460,$299.14,$304.2,$298.315
03/23/2022,$299.49,25715380,$300.51,$303.23,$297.7201
03/22/2022,$304.06,27599690,$299.8,$305,$298.77
03/21/2022,$299.16,28351250,$298.89,$300.14,$294.9
03/18/2022,$300.43,43390630,$295.37,$301,$292.73
03/17/2022,$295.22,30816630,$293.29,$295.61,$289.37
03/16/2022,$294.39,37826330,$289.11,$294.57,$283.2
03/15/2022,$287.15,34245090,$280.35,$287.82,$278.725
03/14/2022,$276.44,30660750,$280.34,$285.3992,$275.82
03/11/2022,$280.07,27209330,$287.96,$289.51,$279.43
